source,target,value
submersed 1,submersed 2,1
submersed 1,bare 2,1
thatch 1,rice 2,1
thatch 1,submersed 2,1
thatch 1,bare 2,1
bare 1,submersed 2,2
bare 1,thatch 2,1
bare 1,bare 2,13
rice 2,rice 3,1
submersed 2,submersed 3,3
submersed 2,bare 3,1
thatch 2,float 3,1
thatch 2,submersed 3,1
bare 2,rice 3,4
bare 2,submersed 3,5
bare 2,bare 3,5
float 3,submersed 4,1
rice 3,rice 4,3
rice 3,submersed 4,1
rice 3,thatch 4,1
submersed 3,rice 4,3
submersed 3,submersed 4,5
submersed 3,bare 4,1
bare 3,submersed 4,3
bare 3,bare 4,3
rice 4,rice 5,2
rice 4,float 5,3
rice 4,submersed 5,1
submersed 4,float 5,3
submersed 4,submersed 5,5
submersed 4,thatch 5,1
submersed 4,bare 5,1
thatch 4,rice 5,1
bare 4,rice 5,1
bare 4,bare 5,3
float 5,float 6,3
float 5,rice 6,3
rice 5,rice 6,2
rice 5,thatch 6,1
rice 5,bare 6,1
submersed 5,float 6,1
submersed 5,rice 6,2
submersed 5,submersed 6,2
submersed 5,thatch 6,1
thatch 5,float 6,1
bare 5,thatch 6,1
bare 5,bare 6,3
float 6,float 7,3
rice 6,float 7,4
submersed 6,float 7,2
rice 6,rice 7,1
thatch 6,rice 7,1
bare 6,rice 7,1
float 6,submersed 7,1
bare 6,submersed 7,2
rice 6,thatch 7,2
thatch 6,thatch 7,1
bare 6,thatch 7,1
float 6,bare 7,1
thatch 6,bare 7,1
